word	meaning
fotì	smashing ; to smash
fú	soothsaying from a prophet
fum	first time to do something ritual
fúm	to pile up ; forehead ; can mean intelligence
gàv	catepillar
gày	cow-herd
ghán	time
gìm	a boil
gitì	to hurry ; to be in haste
gotì	touch on someone's jaw to vex them
gwəˋi	war spy (traditional mask)
jàv	share out ; portion ; divide among
ji	that
jì	voice ; word
jív	to waste time by moving slowly
jiv	a spell (as in witchcraft)
jivir	to disturb
jo	grind ; ground
juv	skin
ka	what
ká	to pray ; to incant to gods
kà	to clear the throat
kam	a stingy person
kám	to squeeze
kàm	leading character in a masquerade
kán	to squeeze out, like juice
káŋrí	to fry
kar	to shake
kár	wheel ; barren woman
kati	to uproot poles ; vexed
kàv	wealth
kavah	throne
kàwár	cowpeas
kay	fence ; to hatch ; to tie strongly
káy	too small ; eaves
kày	person ; rat
ke	yours (singular)
kér	to have
ketì	to raze ; to demolish a house
kétí	to pluck leaves from plant or legs from an insect
kfəəˋ	rope
kfəəʻ	family
ki	to know
kí bòŋ	good
ki'iy	to yearn for
kibambo	guardian figure
kiban	bag
kibrə́	ash in the fire
kibung	corn fufu
kibur	stool
kiburú	a sheath
kiburuh	scabbard
kibuuruh	cutlass and sheath (scabbard)
kibvəəˊshí	tomorrow
kidzér	cold
kifá	a thing you can touch—concrete
kifú	medicine ; leaf of large plant like cocoyam or banana
kighiin	drinking bowl
kighin	bowl
kii	please ; to plead (followed by wò or vèn) ; key
kika'áy	lintel
kiki	to hold a child in your lap
kikong	mask
kikum	shirt
kikún	bed
kikur ke shulav	doorway (post, threshold, lintel)
kimbà	a key
kinfəˋy	owl
kintàn	insect
kinyo	a thing you should pay attention to—information, news
kiŋgàm	banana
kitam	elephant
kitam	trap
kitem	calabash
	car
kítí	to dish up corn fufu
kitó	earnest or front money ; medicinal healer
kitom ke shulav	door post
kitu	skull
kitú	head
kiwó	hard
kiwúukí	on foot
kiy	fire
kiyá	year
ko	to snore ; to catch
kò	to take
kòfi	coffee
kókó	carved lintel at the Fon's palace
kokong	mortar
kóng	ceremonial arrow
koŋ	to like ; to love
koò	to catch, inhibit
koti	to postpone ; to give back a loan
kòv	forest
ku	must ; pleading or plea
kún	beans
kùr	wrapping ; covering and tying
kútí	baling from a container with a cup ; shooing children away
kuúmé	to remember
kvər	to chew strongly
kwang kwang	bow
la	who ; to eat pap, honey
lá	to lick ; hoe handle of woman's hoe
là ci	don't mind ; don't worry about it
la'	home ; compound
lam	language ; to speak ; lamp
láng	dish
lárí	lapping ; licking over and over
latì	to tap ; to get attention by touching someone
látí	sprint ; run fast
lav	house
lav shiv	clinic (house of medicine)
le	how
li	to take, as in committing adultery
liì	good character
lim	work
litì	to hide something
liy	to raise a child or livestock ; an insult
líy	to jump; to skip
lo	to leave ; to fall
ló	rain
lò	stand
lóm	dirty skin
lòn	misfortune ; bad luck
longsé	horns
lóo	before ; when
lor	misfortune ; curse
lum	heat ; husband ; expensive
lúm	to bite ; labor (childbirth)
lùm	dry season ; large rat
M	I
má	dumbfounded (never used alone)
mà	please
ma	book
màmé	mother
matí	to dish out in large loaves or portions
maysi	finishes
mbàm	money
mban	nail
mbìír	bell
mbong	buffalo
méev	theirs
melaà	trouble
melu'	wine ; a beverage
mo	me
motu	car
mum	to try
n'gár	air gun, Dane gun
nà	what to call a girl
naa	to cook
naàri	to explain ; to correct ; to stretch
nasì	to stretch one's body
nchùm	drum
ndzərén	groundnut
ne	present perfect tense marker
neém	to lie down
netì	to arrange, to apportion
ngav	antelope
ngày	crocodile
nghven	arrow
ngiiv	covered vessel
ngon nso; yaa	female figure
njíy	sorry
nkar	friend
nkwàm	bag
nó	to drink
nsay	down ; earth ; ground ; the world
nsər	lid
nsing	container and stopper
ntar	needle ; an entertainment or hospitality involving food
ntir	advice
ntòn	pot
nyom	sweet
nyóo	soup
Nyú Tár	God the Father
ŋgvev	fowl
ŋkaà	basket
ŋkar	friend
patí	to speed
pòpó	papaya
puur	cat
ràpá	women's wrapper
rèké	very clear ; explicit
rú	TRUE
rúrú	truly
sa	also
sá	to fade
san	split or tear by hand
saŋ	rice
sár	early dry season (November here)
satì	tear into parts
sé	yours (plural of ké)
sèké	chaff
sém	to carve ; mine (possessive0
séti	moving small amounts of something from one container to another—dishing
sə	the
sə´m	witchcraft
səəri	to play
shàŋ	chain necklace
shé'	to laugh
shibvem	carved figure
shiliv	heart
shilu	palm wine
shisar	a little
shisi	cat
shiy	to wait
shíy	to trim
shóŋ	thief
shòŋ	to steal
shun	carried
shuuy	sun
shwah	knife
sí	eyes ; already
só	to win
song	tusk
sotì	bruise ; scrape ; to hull corn
su	to wash
súbù	quack ; charlatan
sún	farm
suŋním	speak
sùsù	ornaments ; decorations
tá	to hammer
ta'	to want, to desire
tàá	grandfather or grandchild (short for taata)
takà	weakling (figuratively)
tánrí	to pluck
tátí	to join
távsín	courage
té	to kick ; to shoot
té'	to cover
tèéter	upside down ; on your back
téti	flick ; sweep
tiír	to stand ; to place ; to put
tiíty tiíty	straight
tín	to cut as in harvest
títí	to place things up, stand them up ; place them right
tíy	stone
tó	sunrise
to	shoot of a plant
ton	to burn
tórí	solo
tú	to carry water
vé	yours (plural)
ven	you (plural)
vén	your
vèn	you (plural)
ver	us
vèr	we
vèsən	all of us
vibí	animosity
vifoori	spices
vifú	leaves
viku	cocoyams
vilu	honey
vitó	intestines
viyikir	food
wà	how to address a close friend
wáa	please
wán	child (specific)
wánle	child (general)
way	to put
wáy	market
wày	to be serious
wè	«
weèweè	slowly
wiiybaá	wife of a Shuufaay (woman of the leopard)
wiiynto'	wife of the palace
wiy	coming ; come
wo	your
wó	hands
wò	you
wónlé wayí	traders (children of the market)
wòso	both of us
wù	he/she
wun	him/her
wún	body
wuna	and
wundu	window
wuù	rain
yá	to wander
yàá	grandmother or grandchild (short for yanya)
yasì	to shake
yàsi	illness ; sickness
ye	yours (used when it feels better in your mouth in context)
yéem	mine
yéiey	learning
yem	my
yémé	another form of my, depends on what it refers to
yetí	to brush or dust off
yí	to eat
yi	to eat fufu
yii	ongoing action ; is always
yír	name
yó	snake
yò'	negative marker
yooné	yesterday
yòóy	cricket with a long nose—harbinger of misfortune
yosì	to boil
yú	to hear ; to understand
yu wún	to have pride ; proud
yun	to buy
yutì	to cajole
yútí	to taste
yúu	bees
yuuri	listen
yuv	up
kiténtén	
